Id,R,Nome,Squadra,Pg,Mv,Mf,Gf,Gs,Rp,Rc,R+,R-,Ass,Asf,Amm,Esp,Au,,IV,FV,D,BID,ln(Bid),FV 19/20,FV 20/21,2 YR AVG,PREDICTED VALUE
2610,A,RONALDO,Juventus,33,6.32,8.79,23,0,0,8,6,2,2,0,3,0,0,,48,42,-6,441,6.089044875,9.33,8.79,8.96993829,289
2531,A,LUKAKU,Inter,36,6.63,8.89,18,0,0,6,6,0,9,0,4,0,0,,42,43,1,406,6.00635316,8.33,8.89,8.70327129,257
785,A,IMMOBILE,Lazio,35,6.23,7.7,16,0,0,8,4,4,6,0,3,1,0,,49,32,-17,401,5.993961427,9.49,7.7,8.29661217,207
608,A,ZAPATA D.,Atalanta,37,6.42,7.88,14,0,0,1,1,0,9,0,0,0,0,,40,32,-8,300,5.703782475,8.66,7.88,8.13994458,188
2530,A,IBRAHIMOVIC,Milan,19,6.28,8.28,12,0,0,6,3,3,2,0,2,1,0,,35,29,-6,213,5.361292166,8.17,8.28,8.24327541,200
2764,A,MARTINEZ L.,Inter,38,6.46,7.87,15,0,0,2,2,0,5,0,5,0,0,,30,32,2,181,5.198497031,7.29,7.87,7.67661177,131
647,A,DZEKO,Roma,27,5.96,6.76,7,0,0,1,0,1,3,0,2,0,0,,31,17,-14,178,5.18178355,8.01,6.76,7.17661893,69
441,A,BELOTTI,Torino,35,6.43,7.6,9,0,0,5,4,1,6,0,4,0,0,,29,30,1,172,5.147494477,7.41,7.6,7.53661353,114
2819,A,CAPUTO,Sassuolo,25,6.12,7.65,8,0,0,3,3,0,4,0,1,0,0,,34,27,-7,158,5.062595033,8.31,7.65,7.86994623,154
2719,A,BARROW,Bologna,38,6,6.76,8,0,0,1,0,1,6,2,0,0,0,,23,19,-4,116,4.753590191,7.28,6.76,6.93328584,39
186,A,REBIC,Milan,27,6.19,7.44,11,0,0,0,0,0,4,0,4,1,0,,27,25,-2,115,4.744932128,7.8,7.44,7.5599478,116
